10244	Mus musculus (Mouse) [10090]; Cynomys parvidens (Utah prairie dog) [99827]; Cynomys gunnisoni (Gunnison's prairie dog) [45479]; Homo sapiens (Human) [9606]; Cynomys mexicanus (Mexican prairie dog) [99826]; Heliosciurus ruwenzorii (Ruwenzori sun squirrel) [226685]; Gliridae (dormice) [30650]; Cynomys leucurus (White-tailed prairie dog) [99825]; Cynomys ludovicianus (Black-tailed prairie dog) [45480]
10245	
10249	Homo sapiens (Human) [9606]
10253	Homo sapiens (Human) [9606]
10254	Bos taurus (Bovine) [9913]
10255	Homo sapiens (Human) [9606]
10256	Procyon lotor (Raccoon) [9654]
10258	Ovis aries (Sheep) [9940]; Homo sapiens (Human) [9606]; Capra hircus (Goat) [9925]
10264	
10266	
1026955	Synechococcus [1129]
1027232	
1027244	
1027245	
1027247	
1027248	
1027253	Stenotrophomonas [40323]
1027253	Stenotrophomonas maltophilia [40324]
10272	Oryctolagus cuniculus (Rabbit) [9986]
10273	
1027399	
1027467	
1027468	
1027632	
1027869	
1027872	
1027880	Asclepias viridis [113195]
1027946	
1027947	Macrobrachium rosenbergii [79674]
10280	Homo sapiens (Human) [9606]
1028321	
1028322	
1028323	
1028324	
1028325	
1028326	
1028327	
1028328	
1028329	
1028330	
1028375	Staphylococcus [1279]
1028489	
1028671	
1028672	
1028675	
1028676	
10288	Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana) [7141]
10298	Homo sapiens (Human) [9606]
1029988	Erwinia amylovora [552]
10299	Homo sapiens (Human) [9606]
1030595	Eragrostis minor [110886]
10310	Homo sapiens (Human) [9606]
1031439	
1031440	
1031441	
1031442	
1031443	
1031444	
1031445	
1031446	
1031447	
1031448	
1031449	
1031450	
1031451	
1031452	
1031453	
1031454	
1031455	
1031456	
1031457	
1031458	
1031459	
1031460	
1031461	
1031462	
1031463	
1031464	
1031465	
1031466	
1031467	
1031468	
1031469	
1031470	
1031471	
1031472	
1031474	
1031475	
1031476	
1031477	
1031478	
1031479	
1031480	
1031481	
1031482	
1031483	
1031484	
1031485	
1031486	
1031487	
1031489	
1031490	
1031491	
1031492	
1031493	
1031495	
1031496	
1031498	
1031501	
1031502	
1031504	
1031505	
1031506	
1031507	
1031508	
1031509	
1031510	
1031511	
1031512	
1031513	
1031514	
10315	Homo sapiens (Human) [9606]
10317	
10320	Bos taurus [9913]
